"","V1","V2","X","pixelxocc","pixel.id","fire","pix","ID","groups.all","fire.occ","group","elev","fire.yr","sens","int","pue","m.npp","map","m.bare","m.shrub","m.annual","m.perennial","m.litter","group.fire.occ","group.num","fire.num"
"1",0.517524809985683,-13.702156360465,1,"NV3984111739119990804-672-after","NV3984111739119990804-672","NV3984111739119990804",672,672,"after_fire","after","fire",1507.50903320312,1999,0.454261893291782,8.93668289415667,0.507507143437605,85.18,167.840002059936,35.8,14.6,21.5,9.1,15.3,"fire-after",1,1
"2",-2.45017303428823,-15.0907773134983,2,"NV3984111739119990804-672-before","NV3984111739119990804-672","NV3984111739119990804",672,672,"before_fire","before","fire",1507.50903320312,1999,0.767605832987556,-91.2337699638047,0.372939198675944,86.2111111111111,231.166665818956,38.2222222222222,14.4444444444444,18.6666666666667,9.44444444444444,13.6666666666667,"fire-before",1,0
"3",14.607381748086,3.23178555602388,3,"NV3984111739119990804-735-after","NV3984111739119990804-735","NV3984111739119990804",735,735,"after_fire","after","fire",1600.29650878906,1999,0.37424779001204,-14.9980067662042,0.29548915564682,56.27,190.430000305176,14.4,14.1,32.2,13.3,16,"fire-after",1,1
"4",-0.180209989951235,-3.06966872018534,4,"NV3984111739119990804-735-before","NV3984111739119990804-735","NV3984111739119990804",735,735,"before_fire","before","fire",1600.29650878906,1999,0.22785400320179,5.44082068433493,0.249068536526077,63.8777777777778,256.466668446859,23.1111111111111,19.5555555555556,20,10.5555555555556,14.8888888888889,"fire-before",1,0
"5",19.0348926969616,1.48330108381982,5,"NV3984111739119990804-80-after","NV3984111739119990804-80","NV3984111739119990804",80,80,"after_fire","after","fire",1542.7724609375,1999,0.393848279707251,-24.5605280248447,0.264874231576783,50.44,190.430000305176,15.7,10,35.6,13.5,18.6,"fire-after",1,1
"6",10.2168809564001,-4.29986792804989,6,"NV3984111739119990804-80-before","NV3984111739119990804-80","NV3984111739119990804",80,80,"before_fire","before","fire",1542.7724609375,1999,0.368755458128845,-29.8734838179,0.252274497858992,64.7,256.466668446859,25,12.1111111111111,28.8888888888889,13.2222222222222,15.1111111111111,"fire-before",1,0
"7",17.9266835035998,0.99116698751584,7,"NV3984111739119990804-809-after","NV3984111739119990804-809","NV3984111739119990804",809,809,"after_fire","after","fire",1553.24145507812,1999,0.5586071058203,9.22444866816692,0.60704720797534,115.6,190.430000305176,16.7,11.5,35.3,13.2,18.5,"fire-after",1,1
"8",5.46303207014015,-4.57224101382585,8,"NV3984111739119990804-809-before","NV3984111739119990804-809","NV3984111739119990804",809,809,"before_fire","before","fire",1553.24145507812,1999,0.575821304818317,-44.6567494452547,0.40169829025392,103.022222222222,256.466668446859,25.1111111111111,14.4444444444444,24.5555555555556,12.1111111111111,15.3333333333333,"fire-before",1,0
"9",0.827611189370079,-2.01042484337481,9,"NV3999711796820000725-903-after","NV3999711796820000725-903","NV3999711796820000725",903,903,"after_fire","after","fire",1635.29968261719,2000,0.107243736296457,51.7870449628877,0.331342766668575,76.57,231.090000152588,21.6,12.1,17.3,13.3,10.7,"fire-after",1,1
"10",-5.52670079667717,-0.728950728437688,10,"NV3999711796820000725-903-before","NV3999711796820000725-903","NV3999711796820000725",903,903,"before_fire","before","fire",1635.29968261719,2000,0.032754873239089,85.6559539175823,0.323298706282261,95.3125,294.812500476837,23,16.75,12.75,14.75,10,"fire-before",1,0
